quantity_kind,unit,symbol,quantity_name
http://qudt.org/vocab/quantitykind/EnergyKinetic,J,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,KiloBTU_IT,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,KiloBTU_TH,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,KiloCAL,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,KiloEV,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,KiloJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,KiloVA-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,KiloVAR-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,KiloW-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MegaBTU_IT,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MegaEV,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MegaJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MegaTOE,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MegaVA-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MegaVAR-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MegaW-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MicroJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,MilliJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,NanoJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,PetaJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,PicoJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,PlanckEnergy,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,QUAD,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,THERM_EC,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,THERM_US,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,THM_EEC,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,THM_US,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,TOE,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,TeraJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,TeraW-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,TonEnergy,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,VA-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,VAR-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,W-HR,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,W-SEC,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyLevel,AttoJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,BTU_IT,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,BTU_TH,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,CAL_IT,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,CAL_TH,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,ERG,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,EV,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,E_h,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,ExaJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,FT-LB_F,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,FT-PDL,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,FemtoJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,GigaEV,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,GigaJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,GigaW-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,J,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,KiloBTU_IT,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,KiloBTU_TH,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,KiloCAL,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,KiloEV,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,KiloJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,KiloVA-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,KiloVAR-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,KiloW-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MegaBTU_IT,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MegaEV,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MegaJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MegaTOE,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MegaVA-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MegaVAR-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MegaW-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MicroJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,MilliJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,NanoJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,PetaJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,PicoJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,PlanckEnergy,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,QUAD,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,THERM_EC,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,THERM_US,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,THM_EEC,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,THM_US,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,TOE,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,TeraJ,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,TeraW-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,TonEnergy,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,VA-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,VAR-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,W-HR,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyLevel,W-SEC,E,EnergyLevel
http://qudt.org/vocab/quantitykind/EnergyPerArea,GigaJ-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,J-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,LANGLEY,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,MilliJ-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,BTU_IT-PER-FT2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,BTU_TH-PER-FT2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,CAL_TH-PER-CentiM2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,CentiN-M-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,ERG-PER-CentiM2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,FT-LB_F-PER-FT2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,FT-LB_F-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,GigaN-M-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,J-PER-CentiM2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,KiloBTU_IT-PER-FT2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,KiloCAL-PER-CentiM2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,KiloGM-PER-SEC2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,KiloN-M-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,KiloW-HR-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,LB_F-PER-IN,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,MegaJ-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,MegaN-M-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,MicroN-M-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,MilliN-M-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,N-M-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,NanoN-M-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,W-HR-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerArea,W-SEC-PER-M2,nan,EnergyPerArea
http://qudt.org/vocab/quantitykind/EnergyPerAreaElectricCharge,V-PER-M2,nan,EnergyPerAreaElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,ExaV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,FemtoV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,GigaV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,KiloV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,MegaV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,MicroV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,MilliV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,NanoV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,PetaV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,PicoV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,PlanckVolt,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,TeraV,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,V,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,V_Ab,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge,V_Stat,V,EnergyPerElectricCharge
http://qudt.org/vocab/quantitykind/EnergyPerMassAmountOfSubstance,BTU_IT-PER-MOL_LB,nan,EnergyPerMassAmountOfSubstance
http://qudt.org/vocab/quantitykind/EnergyPerSquareMagneticFluxDensity,J-PER-T2,nan,EnergyPerSquareMagneticFluxDensity
http://qudt.org/vocab/quantitykind/EnergyPerTemperature,KiloJ-PER-K,nan,EnergyPerTemperature
http://qudt.org/vocab/quantitykind/Enthalpy,AttoJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,BTU_IT,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,BTU_TH,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,CAL_IT,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,CAL_TH,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,ERG,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,EV,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,E_h,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,ExaJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,FT-LB_F,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,FT-PDL,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,FemtoJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,GigaEV,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,GigaJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,GigaW-HR,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,J,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,KiloBTU_IT,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,KiloBTU_TH,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,KiloCAL,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,KiloEV,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,KiloJ,H,Enthalpy
http://qudt.org/vocab/quantitykind/Enthalpy,KiloVA-HR,H,Enthalpy
