start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1770945120,1770945180,2026-02-13T01:12:00+00:00,2026-02-13T01:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945180,1770945240,2026-02-13T01:13:00+00:00,2026-02-13T01:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945240,1770945300,2026-02-13T01:14:00+00:00,2026-02-13T01:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945300,1770945360,2026-02-13T01:15:00+00:00,2026-02-13T01:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945360,1770945420,2026-02-13T01:16:00+00:00,2026-02-13T01:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945420,1770945480,2026-02-13T01:17:00+00:00,2026-02-13T01:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945480,1770945540,2026-02-13T01:18:00+00:00,2026-02-13T01:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945540,1770945600,2026-02-13T01:19:00+00:00,2026-02-13T01:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945600,1770945660,2026-02-13T01:20:00+00:00,2026-02-13T01:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945660,1770945720,2026-02-13T01:21:00+00:00,2026-02-13T01:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945720,1770945780,2026-02-13T01:22:00+00:00,2026-02-13T01:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945780,1770945840,2026-02-13T01:23:00+00:00,2026-02-13T01:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945840,1770945900,2026-02-13T01:24:00+00:00,2026-02-13T01:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945900,1770945960,2026-02-13T01:25:00+00:00,2026-02-13T01:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945960,1770946020,2026-02-13T01:26:00+00:00,2026-02-13T01:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946020,1770946080,2026-02-13T01:27:00+00:00,2026-02-13T01:28:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946080,1770946140,2026-02-13T01:28:00+00:00,2026-02-13T01:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946140,1770946200,2026-02-13T01:29:00+00:00,2026-02-13T01:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946200,1770946260,2026-02-13T01:30:00+00:00,2026-02-13T01:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946260,1770946320,2026-02-13T01:31:00+00:00,2026-02-13T01:32:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946320,1770946380,2026-02-13T01:32:00+00:00,2026-02-13T01:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946380,1770946440,2026-02-13T01:33:00+00:00,2026-02-13T01:34:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946440,1770946500,2026-02-13T01:34:00+00:00,2026-02-13T01:35:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946500,1770946560,2026-02-13T01:35:00+00:00,2026-02-13T01:36:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946560,1770946620,2026-02-13T01:36:00+00:00,2026-02-13T01:37:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946620,1770946680,2026-02-13T01:37:00+00:00,2026-02-13T01:38:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946680,1770946740,2026-02-13T01:38:00+00:00,2026-02-13T01:39:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946740,1770946800,2026-02-13T01:39:00+00:00,2026-02-13T01:40:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946800,1770946860,2026-02-13T01:40:00+00:00,2026-02-13T01:41:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946860,1770946920,2026-02-13T01:41:00+00:00,2026-02-13T01:42:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946920,1770946980,2026-02-13T01:42:00+00:00,2026-02-13T01:43:00+00:00,,,,,,,,,,,,,,,,,,,,
1770946980,1770947040,2026-02-13T01:43:00+00:00,2026-02-13T01:44:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947040,1770947100,2026-02-13T01:44:00+00:00,2026-02-13T01:45:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947100,1770947160,2026-02-13T01:45:00+00:00,2026-02-13T01:46:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947160,1770947220,2026-02-13T01:46:00+00:00,2026-02-13T01:47:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947220,1770947280,2026-02-13T01:47:00+00:00,2026-02-13T01:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947280,1770947340,2026-02-13T01:48:00+00:00,2026-02-13T01:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947340,1770947400,2026-02-13T01:49:00+00:00,2026-02-13T01:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947400,1770947460,2026-02-13T01:50:00+00:00,2026-02-13T01:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947460,1770947520,2026-02-13T01:51:00+00:00,2026-02-13T01:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947520,1770947580,2026-02-13T01:52:00+00:00,2026-02-13T01:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947580,1770947640,2026-02-13T01:53:00+00:00,2026-02-13T01:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947640,1770947700,2026-02-13T01:54:00+00:00,2026-02-13T01:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947700,1770947760,2026-02-13T01:55:00+00:00,2026-02-13T01:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947760,1770947820,2026-02-13T01:56:00+00:00,2026-02-13T01:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947820,1770947880,2026-02-13T01:57:00+00:00,2026-02-13T01:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1770947880,1770947940,2026-02-13T01:58:00+00:00,2026-02-13T01:59:00+00:00,,,,,,,,,,,,,,,,,,,,
